Year,Month,Emp,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,Jan,551.3,,,,,,,,,,,
2019,Feb,550.4,,,,,,,,,,,
2019,Mar,550.4,,,,,,,,,,,
2019,Apr,547.6,,,,,,,,,,,
2019,May,549.7,,,,,,,,,,,
2019,Jun,552.3,,,,,,,,,,,
2019,Jul,550.6,,,,,,,,,,,
2019,Aug,549.2,,,,,,,,,,,
2019,Sep,548,,,,,,,,,,,
2019,Oct,546.1,,,,,,,,,,,
2019,Nov,547.6,,,,,,,,,,,
2019,Dec,548.8,,,,,,,,,,,
2020,Jan,547.1,,,,,,,,,,,
2020,Feb,547.2,,,,,,,,,,,
2020,Mar,547.5,,,,,,,,,,,
2020,Apr,542.6,,,,,,,,,,,
2020,May,542,,,,,,,,,,,
2020,Jun,540.1,,,,,,,,,,,
2020,Jul,539.4,,,,,,,,,,,
2020,Aug,541.2,,,,,,,,,,,
2020,Sep,542.7,,,,,,,,,,,
2020,Oct,541.3,,,,,,,,,,,
2020,Nov,541.6,,,,,,,,,,,
2020,Dec,541.4,,,,,,,,,,,
2021,Jan,542.4,,,,,,,,,,,
2021,Feb,542.5,,,,,,,,,,,
2021,Mar,543.4,,,,,,,,,,,
2021,Apr,543.8,,,,,,,,,,,
2021,May,544.1,,,,,,,,,,,
2021,Jun,545.5,,,,,,,,,,,
2021,Jul,545.7,,,,,,,,,,,
2021,Aug,544.9,,,,,,,,,,,
2021,Sep,545.6,,,,,,,,,,,
2021,Oct,545.9,,,,,,,,,,,
2021,Nov,547.1,,,,,,,,,,,
2021,Dec,547.7,,,,,,,,,,,
2022,Jan,550.8,,,,,,,,,,,
2022,Feb,551.4,,,,,,,,,,,
2022,Mar,552,,,,,,,,,,,
2022,Apr,553.1,,,,,,,,,,,
2022,May,555.4,,,,,,,,,,,
2022,Jun,557.2,,,,,,,,,,,
2022,Jul,560.1,,,,,,,,,,,
2022,Aug,562.8,,,,,,,,,,,
2022,Sep,563.8,,,,,,,,,,,
2022,Oct,566,,,,,,,,,,,
2022,Nov,566.9,,,,,,,,,,,
2022,Dec,568.3,,,,,,,,,,,